content,received_at,sender,phone,source
"【XX银行】您尾号1234信用卡消费¥128.50元，余额¥5020.18元。如非本人操作请致电客服。",2026-02-10 09:12:00,XX银行,,sample
"验证码：839204（5分钟内有效），请勿泄露给他人。",2026-02-10 09:15:00,某平台,,sample
"【菜鸟驿站】取件码 6639，包裹已到达A柜，请于今日20:00前取走。",2026-02-10 10:01:00,菜鸟驿站,,sample
"【政务服务】您已成功预约办理业务，时间：2026-02-12 14:30，请携带身份证前往。",2026-02-10 10:22:00,政务服务,,sample
"【支付宝】您已付款¥36.00元，商户：XX便利店。",2026-02-10 11:05:00,支付宝,,sample
"【运营商】尊敬的用户，您本月话费账单已出，请及时缴费，详见http://example.com/bill",2026-02-10 11:35:00,运营商,,sample
"【保险】您的车险将于2026/03/01到期，请尽快续保，咨询400-123-4567。",2026-02-10 12:10:00,XX保险,4001234567,sample
"【京东】您的会员账号信息已变更，如非本人操作请尽快修改密码。",2026-02-10 12:40:00,京东,,sample
"【风险提示】近期出现冒充客服诈骗，请勿点击不明链接www.fake-site.cn。",2026-02-10 13:05:00,反诈中心,,sample
"【营销】新用户立减50元，限时抢购！点击 https://promo.example.com 领取。",2026-02-10 13:20:00,某电商,,sample
"动态码 562731 用于登录验证，请在10分钟内使用。",2026-02-10 14:08:00,某应用,,sample
"【银行】您尾号8888账户转入¥2000.00元，当前余额¥10000.00元。",2026-02-10 15:30:00,某银行,,sample
